,id,agent_serial,device_type,reading,unit,time_of_reading,time_of_create
28694,4219125,dca63282b8d2,light,115.53,lux,2023-10-03 11:24:01,2023-10-03 11:24:11
28698,4219129,dca63282ba98,light,206.03,lux,2023-10-03 11:25:02,2023-10-03 11:25:10
28699,4219130,dca63282b9da,light,116.74,lux,2023-10-03 11:25:02,2023-10-03 11:25:11
28700,4219131,dca63282b8d2,light,112.8,lux,2023-10-03 11:25:01,2023-10-03 11:25:11
28702,4219133,dca63282b98f,light,164.9,lux,2023-10-03 11:25:02,2023-10-03 11:25:12
28707,4219138,dca63282ba98,light,323.2,lux,2023-10-03 11:26:02,2023-10-03 11:26:11
28708,4219139,dca63282b8d2,light,150.94,lux,2023-10-03 11:26:01,2023-10-03 11:26:11
28709,4219140,dca63282b98f,light,226.43,lux,2023-10-03 11:26:02,2023-10-03 11:26:11
28710,4219141,dca63282b9da,light,139.69,lux,2023-10-03 11:26:02,2023-10-03 11:26:12
28713,4219144,dca63282b9da,light,150.39,lux,2023-10-03 11:27:01,2023-10-03 11:27:10
28718,4219149,dca63282b98f,light,260.9,lux,2023-10-03 11:27:01,2023-10-03 11:27:11
28719,4219150,dca63282b8d2,light,158.53,lux,2023-10-03 11:27:02,2023-10-03 11:27:12
28720,4219151,dca63282ba98,light,390.24,lux,2023-10-03 11:27:02,2023-10-03 11:27:14
28723,4219154,dca63282b9da,light,150.33,lux,2023-10-03 11:28:01,2023-10-03 11:28:10
28725,4219156,dca63282ba98,light,383.95,lux,2023-10-03 11:28:02,2023-10-03 11:28:10
28728,4219159,dca63282b98f,light,259.15,lux,2023-10-03 11:28:01,2023-10-03 11:28:11
28729,4219160,dca63282b8d2,light,157.16,lux,2023-10-03 11:28:02,2023-10-03 11:28:12
28735,4219166,dca63282b98f,light,259.27,lux,2023-10-03 11:29:02,2023-10-03 11:29:10
28736,4219167,dca63282b9da,light,150.87,lux,2023-10-03 11:29:02,2023-10-03 11:29:10
28737,4219168,dca63282b8d2,light,156.66,lux,2023-10-03 11:29:02,2023-10-03 11:29:10
28738,4219169,dca63282ba98,light,381.43,lux,2023-10-03 11:29:02,2023-10-03 11:29:11
28742,4219173,dca63282b98f,light,260.34,lux,2023-10-03 11:30:02,2023-10-03 11:30:10
28743,4219174,dca63282b8d2,light,157.23,lux,2023-10-03 11:30:02,2023-10-03 11:30:10
28744,4219175,dca63282b9da,light,151.89,lux,2023-10-03 11:30:02,2023-10-03 11:30:10
28746,4219177,dca63282ba98,light,384.41,lux,2023-10-03 11:30:02,2023-10-03 11:30:11
28753,4219184,dca63282b9da,light,130.47,lux,2023-10-03 11:31:02,2023-10-03 11:31:11
28754,4219185,dca63282b8d2,light,131.03,lux,2023-10-03 11:31:02,2023-10-03 11:31:11
28755,4219186,dca63282b98f,light,177.89,lux,2023-10-03 11:31:02,2023-10-03 11:31:11
28756,4219187,dca63282ba98,light,217.17,lux,2023-10-03 11:31:02,2023-10-03 11:31:11
28760,4219191,dca63282ba98,light,390.97,lux,2023-10-03 11:32:01,2023-10-03 11:32:10
28763,4219194,dca63282b98f,light,263.58,lux,2023-10-03 11:32:02,2023-10-03 11:32:10
28764,4219195,dca63282b8d2,light,158.66,lux,2023-10-03 11:32:02,2023-10-03 11:32:11
28765,4219196,dca63282b9da,light,152.1,lux,2023-10-03 11:32:02,2023-10-03 11:32:12
28770,4219201,dca63282b98f,light,265.23,lux,2023-10-03 11:33:02,2023-10-03 11:33:10
28771,4219202,dca63282b8d2,light,156.89,lux,2023-10-03 11:33:02,2023-10-03 11:33:11
28772,4219203,dca63282ba98,light,391.08,lux,2023-10-03 11:33:01,2023-10-03 11:33:11
28774,4219205,dca63282b9da,light,151.72,lux,2023-10-03 11:33:02,2023-10-03 11:33:11
28777,4219208,dca63282b98f,light,161.67,lux,2023-10-03 11:34:02,2023-10-03 11:34:10
28780,4219211,dca63282ba98,light,189.0,lux,2023-10-03 11:34:02,2023-10-03 11:34:10
28782,4219213,dca63282b8d2,light,108.59,lux,2023-10-03 11:34:02,2023-10-03 11:34:11
28783,4219214,dca63282b9da,light,116.05,lux,2023-10-03 11:34:01,2023-10-03 11:34:11
28789,4219220,dca63282b8d2,light,121.66,lux,2023-10-03 11:35:02,2023-10-03 11:35:10
28790,4219221,dca63282b9da,light,122.28,lux,2023-10-03 11:35:02,2023-10-03 11:35:11
28791,4219222,dca63282b98f,light,186.85,lux,2023-10-03 11:35:02,2023-10-03 11:35:11
28792,4219223,dca63282ba98,light,239.47,lux,2023-10-03 11:35:02,2023-10-03 11:35:12
28795,4219226,dca63282b98f,light,270.92,lux,2023-10-03 11:36:02,2023-10-03 11:36:10
28797,4219228,dca63282b9da,light,150.93,lux,2023-10-03 11:36:01,2023-10-03 11:36:10
28798,4219229,dca63282ba98,light,409.51,lux,2023-10-03 11:36:02,2023-10-03 11:36:10
28801,4219232,dca63282b8d2,light,160.03,lux,2023-10-03 11:36:02,2023-10-03 11:36:11
28805,4219236,dca63282b9da,light,153.26,lux,2023-10-03 11:37:01,2023-10-03 11:37:10
28806,4219237,dca63282b8d2,light,159.22,lux,2023-10-03 11:37:01,2023-10-03 11:37:10
28807,4219238,dca63282ba98,light,402.27,lux,2023-10-03 11:37:01,2023-10-03 11:37:10
28810,4219241,dca63282b98f,light,268.89,lux,2023-10-03 11:37:03,2023-10-03 11:37:11
28813,4219244,dca63282b8d2,light,110.52,lux,2023-10-03 11:38:01,2023-10-03 11:38:10
28814,4219245,dca63282b9da,light,120.04,lux,2023-10-03 11:38:01,2023-10-03 11:38:10
28818,4219249,dca63282b98f,light,185.0,lux,2023-10-03 11:38:02,2023-10-03 11:38:11
28819,4219250,dca63282ba98,light,258.65,lux,2023-10-03 11:38:01,2023-10-03 11:38:12
28824,4219255,dca63282b8d2,light,144.35,lux,2023-10-03 11:39:01,2023-10-03 11:39:10
28825,4219256,dca63282b98f,light,243.87,lux,2023-10-03 11:39:01,2023-10-03 11:39:10
28826,4219257,dca63282b9da,light,138.9,lux,2023-10-03 11:39:02,2023-10-03 11:39:10
28827,4219258,dca63282ba98,light,355.91,lux,2023-10-03 11:39:02,2023-10-03 11:39:10
28833,4219264,dca63282b8d2,light,162.41,lux,2023-10-03 11:40:01,2023-10-03 11:40:10
28834,4219265,dca63282b98f,light,277.22,lux,2023-10-03 11:40:02,2023-10-03 11:40:10
28835,4219266,dca63282b9da,light,154.43,lux,2023-10-03 11:40:02,2023-10-03 11:40:11
28837,4219268,dca63282ba98,light,415.0,lux,2023-10-03 11:40:02,2023-10-03 11:40:11
28840,4219271,dca63282b9da,light,143.52,lux,2023-10-03 11:41:02,2023-10-03 11:41:11
28842,4219273,dca63282b98f,light,243.97,lux,2023-10-03 11:41:02,2023-10-03 11:41:11
28844,4219275,dca63282b8d2,light,145.71,lux,2023-10-03 11:41:01,2023-10-03 11:41:11
28846,4219277,dca63282ba98,light,350.72,lux,2023-10-03 11:41:02,2023-10-03 11:41:12
28850,4219281,dca63282b8d2,light,112.22,lux,2023-10-03 11:42:01,2023-10-03 11:42:10
28851,4219282,dca63282b98f,light,185.65,lux,2023-10-03 11:42:01,2023-10-03 11:42:10
28853,4219284,dca63282b9da,light,126.53,lux,2023-10-03 11:42:02,2023-10-03 11:42:11
28855,4219286,dca63282ba98,light,214.75,lux,2023-10-03 11:42:02,2023-10-03 11:42:11
28858,4219289,dca63282b9da,light,154.11,lux,2023-10-03 11:43:01,2023-10-03 11:43:10
28860,4219291,dca63282b98f,light,272.47,lux,2023-10-03 11:43:01,2023-10-03 11:43:10
28861,4219292,dca63282ba98,light,405.27,lux,2023-10-03 11:43:01,2023-10-03 11:43:10
28864,4219295,dca63282b8d2,light,153.87,lux,2023-10-03 11:43:01,2023-10-03 11:43:11
28867,4219298,dca63282b8d2,light,140.14,lux,2023-10-03 11:44:01,2023-10-03 11:44:10
28868,4219299,dca63282b9da,light,132.39,lux,2023-10-03 11:44:01,2023-10-03 11:44:10
28870,4219301,dca63282b98f,light,213.16,lux,2023-10-03 11:44:02,2023-10-03 11:44:10
28873,4219304,dca63282ba98,light,301.4,lux,2023-10-03 11:44:02,2023-10-03 11:44:11
28877,4219308,dca63282b8d2,light,161.78,lux,2023-10-03 11:45:01,2023-10-03 11:45:10
28878,4219309,dca63282b98f,light,280.16,lux,2023-10-03 11:45:02,2023-10-03 11:45:10
28881,4219312,dca63282b9da,light,157.0,lux,2023-10-03 11:45:02,2023-10-03 11:45:10
28882,4219313,dca63282ba98,light,421.49,lux,2023-10-03 11:45:02,2023-10-03 11:45:11
28886,4219317,dca63282b8d2,light,167.96,lux,2023-10-03 11:46:01,2023-10-03 11:46:10
28888,4219319,dca63282b98f,light,282.38,lux,2023-10-03 11:46:01,2023-10-03 11:46:10
28890,4219321,dca63282b9da,light,158.11,lux,2023-10-03 11:46:02,2023-10-03 11:46:11
28891,4219322,dca63282ba98,light,422.37,lux,2023-10-03 11:46:01,2023-10-03 11:46:11
28894,4219325,dca63282b8d2,light,164.06,lux,2023-10-03 11:47:01,2023-10-03 11:47:10
28897,4219328,dca63282b9da,light,156.97,lux,2023-10-03 11:47:01,2023-10-03 11:47:10
28898,4219329,dca63282b98f,light,276.93,lux,2023-10-03 11:47:01,2023-10-03 11:47:10
28900,4219331,dca63282ba98,light,422.9,lux,2023-10-03 11:47:01,2023-10-03 11:47:10
28906,4219337,dca63282b9da,light,115.94,lux,2023-10-03 11:48:02,2023-10-03 11:48:10
28907,4219338,dca63282ba98,light,196.6,lux,2023-10-03 11:48:02,2023-10-03 11:48:10
28908,4219339,dca63282b98f,light,165.95,lux,2023-10-03 11:48:01,2023-10-03 11:48:11
28909,4219340,dca63282b8d2,light,107.77,lux,2023-10-03 11:48:02,2023-10-03 11:48:12
28915,4219346,dca63282b98f,light,169.45,lux,2023-10-03 11:49:01,2023-10-03 11:49:10
28916,4219347,dca63282b9da,light,116.58,lux,2023-10-03 11:49:02,2023-10-03 11:49:10
28917,4219348,dca63282ba98,light,199.2,lux,2023-10-03 11:49:02,2023-10-03 11:49:11
28918,4219349,dca63282b8d2,light,109.01,lux,2023-10-03 11:49:02,2023-10-03 11:49:12
28923,4219354,dca63282b9da,light,119.38,lux,2023-10-03 11:50:02,2023-10-03 11:50:11
28925,4219356,dca63282b98f,light,177.14,lux,2023-10-03 11:50:02,2023-10-03 11:50:11
28926,4219357,dca63282b8d2,light,116.71,lux,2023-10-03 11:50:02,2023-10-03 11:50:11
28927,4219358,dca63282ba98,light,216.96,lux,2023-10-03 11:50:02,2023-10-03 11:50:12
28932,4219363,dca63282b98f,light,274.4,lux,2023-10-03 11:51:02,2023-10-03 11:51:11
28933,4219364,dca63282b9da,light,151.53,lux,2023-10-03 11:51:02,2023-10-03 11:51:11
28935,4219366,dca63282ba98,light,425.16,lux,2023-10-03 11:51:02,2023-10-03 11:51:11
28936,4219367,dca63282b8d2,light,162.76,lux,2023-10-03 11:51:01,2023-10-03 11:51:11
28940,4219371,dca63282b8d2,light,163.79,lux,2023-10-03 11:52:01,2023-10-03 11:52:10
28941,4219372,dca63282ba98,light,420.54,lux,2023-10-03 11:52:01,2023-10-03 11:52:10
28943,4219374,dca63282b98f,light,276.52,lux,2023-10-03 11:52:02,2023-10-03 11:52:11
28945,4219376,dca63282b9da,light,156.08,lux,2023-10-03 11:52:02,2023-10-03 11:52:11
28948,4219379,dca63282b8d2,light,163.05,lux,2023-10-03 11:53:01,2023-10-03 11:53:10
28949,4219380,dca63282ba98,light,417.37,lux,2023-10-03 11:53:01,2023-10-03 11:53:10
28953,4219384,dca63282b9da,light,155.62,lux,2023-10-03 11:53:02,2023-10-03 11:53:11
28954,4219385,dca63282b98f,light,275.17,lux,2023-10-03 11:53:02,2023-10-03 11:53:11
28957,4219388,dca63282ba98,light,409.78,lux,2023-10-03 11:54:01,2023-10-03 11:54:10
28959,4219390,dca63282b98f,light,272.79,lux,2023-10-03 11:54:02,2023-10-03 11:54:11
28961,4219392,dca63282b8d2,light,160.75,lux,2023-10-03 11:54:02,2023-10-03 11:54:11
28962,4219393,dca63282b9da,light,154.45,lux,2023-10-03 11:54:02,2023-10-03 11:54:11
28969,4219400,dca63282b9da,light,158.51,lux,2023-10-03 11:55:02,2023-10-03 11:55:11
28970,4219401,dca63282ba98,light,420.15,lux,2023-10-03 11:55:01,2023-10-03 11:55:11
28971,4219402,dca63282b98f,light,280.31,lux,2023-10-03 11:55:02,2023-10-03 11:55:11
28972,4219403,dca63282b8d2,light,164.05,lux,2023-10-03 11:55:02,2023-10-03 11:55:12
28975,4219406,dca63282b9da,light,158.79,lux,2023-10-03 11:56:01,2023-10-03 11:56:10
28978,4219409,dca63282b8d2,light,164.71,lux,2023-10-03 11:56:02,2023-10-03 11:56:11
28979,4219410,dca63282b98f,light,284.54,lux,2023-10-03 11:56:02,2023-10-03 11:56:11
28981,4219412,dca63282ba98,light,427.6,lux,2023-10-03 11:56:01,2023-10-03 11:56:13
28984,4219415,dca63282ba98,light,438.14,lux,2023-10-03 11:57:01,2023-10-03 11:57:10
28986,4219417,dca63282b9da,light,159.2,lux,2023-10-03 11:57:01,2023-10-03 11:57:10
28989,4219420,dca63282b8d2,light,165.13,lux,2023-10-03 11:57:02,2023-10-03 11:57:12
28990,4219421,dca63282b98f,light,286.35,lux,2023-10-03 11:57:02,2023-10-03 11:57:12
28994,4219425,dca63282b9da,light,159.26,lux,2023-10-03 11:58:02,2023-10-03 11:58:10
28996,4219427,dca63282ba98,light,438.56,lux,2023-10-03 11:58:01,2023-10-03 11:58:11
28998,4219429,dca63282b8d2,light,163.82,lux,2023-10-03 11:58:02,2023-10-03 11:58:12
29002,4219433,dca63282b98f,light,284.46,lux,2023-10-03 11:59:01,2023-10-03 11:59:10
29003,4219434,dca63282b9da,light,156.78,lux,2023-10-03 11:59:02,2023-10-03 11:59:11
29006,4219437,dca63282b8d2,light,162.25,lux,2023-10-03 11:59:02,2023-10-03 11:59:11
29007,4219438,dca63282ba98,light,435.83,lux,2023-10-03 11:59:02,2023-10-03 11:59:12
